POL,D,T1,A1,B,A2,T2,A1n,Bn,A2n,PF,DF,Time,SD,Solvent,VOL,Hydration,Temperature,Source,D2,DF2,B2,B2n,PMW,DMW,DMW2,POLFRAC,D1FRAC,D2FRAC,POLNAME,DRUGNAME1,DRUGNAME2,PMR,MR1,MR2,SD2
A-cPrOx-A,XXX,MeOx,MeOx,cPrOx,MeOx,PipBoc,34,18,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8254.91587254,GGG,JJJ,EEE,FFF,MMM,A-cPrOx-A,XXX,YYY,1,CCC,DDD,PPP
A-cPrOzi-A,XXX,MeOx,MeOx,cPrOzi,MeOx,PipBoc,35,18,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8592.281637664,GGG,JJJ,EEE,FFF,MMM,A-cPrOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-nPrOx-A,XXX,MeOx,MeOx,nPrOx,MeOx,PipBoc,35,20,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8602.512365864,GGG,JJJ,EEE,FFF,MMM,A-nPrOx-A,XXX,YYY,1,CCC,DDD,PPP
A-nPrOzi-A,XXX,MeOx,MeOx,nPrOzi,MeOx,PipBoc,34,19,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8585.526225036,GGG,JJJ,EEE,FFF,MMM,A-nPrOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-iPrOx-A,XXX,MeOx,MeOx,iPrOx,MeOx,PipBoc,33,20,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8347.260173948,GGG,JJJ,EEE,FFF,MMM,A-iPrOx-A,XXX,YYY,1,CCC,DDD,PPP
A-iPrOzi-A,XXX,MeOx,MeOx,iPrOzi,MeOx,PipBoc,34,18,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8458.395210872,GGG,JJJ,EEE,FFF,MMM,A-iPrOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-cPrMeOx-A,XXX,MeOx,MeOx,cPrMeOx,MeOx,PipBoc,34,18,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8507.197573692,GGG,JJJ,EEE,FFF,MMM,A-cPrMeOx-A,XXX,YYY,1,CCC,DDD,PPP
A-cPrMeOzi-A,XXX,MeOx,MeOx,cPrMeOzi,MeOx,PipBoc,34,15,34,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8171.918104408,GGG,JJJ,EEE,FFF,MMM,A-cPrMeOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-nBuOx-A,XXX,MeOx,MeOx,nBuOx,MeOx,PipBoc,34,22,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8966.919267528,GGG,JJJ,EEE,FFF,MMM,A-nBuOx-A,XXX,YYY,1,CCC,DDD,PPP
A-nBuOzi-A,XXX,MeOx,MeOx,nBuOzi,MeOx,PipBoc,34,21,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9134.116904708,GGG,JJJ,EEE,FFF,MMM,A-nBuOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-iBuOx-A,XXX,MeOx,MeOx,iBuOx,MeOx,PipBoc,33,19,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8500.442161064,GGG,JJJ,EEE,FFF,MMM,A-iBuOx-A,XXX,YYY,1,CCC,DDD,PPP
A-iBuOzi-A,XXX,MeOx,MeOx,iBuOzi,MeOx,PipBoc,34,18,34,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8625.592848052,GGG,JJJ,EEE,FFF,MMM,A-iBuOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-sBuOx-A,XXX,MeOx,MeOx,sBuOx,MeOx,PipBoc,33,18,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8373.3111469,GGG,JJJ,EEE,FFF,MMM,A-sBuOx-A,XXX,YYY,1,CCC,DDD,PPP
A-sBuOzi-A,XXX,MeOx,MeOx,sBuOzi,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8287.23691934,GGG,JJJ,EEE,FFF,MMM,A-sBuOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-PentOx-A,XXX,MeOx,MeOx,PentOx,MeOx,PipBoc,34,21,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9134.116904708,GGG,JJJ,EEE,FFF,MMM,A-PentOx-A,XXX,YYY,1,CCC,DDD,PPP
A*-nPrOzi-A*,XXX,EtOx,EtOx,nPrOzi,EtOx,PipBoc,28,18,29,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8250.29414692,GGG,JJJ,EEE,FFF,MMM,A*-nPrOzi-A*,XXX,YYY,1,CCC,DDD,PPP
A*-nBuOx-A*,XXX,EtOx,EtOx,nBuOx,EtOx,PipBoc,34,20,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9693.75274368,GGG,JJJ,EEE,FFF,MMM,A*-nBuOx-A*,XXX,YYY,1,CCC,DDD,PPP
A-BzOx-A-L,XXX,MeOx,MeOx,BzOx,MeOx,PipBoc,34,20,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9392.34423792,GGG,JJJ,EEE,FFF,MMM,A-BzOx-A-L,XXX,YYY,1,CCC,DDD,PPP
A-BzOzi-A,XXX,MeOx,MeOx,BzOzi,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8797.00216838,GGG,JJJ,EEE,FFF,MMM,A-BzOzi-A,XXX,YYY,1,CCC,DDD,PPP
A-PhOx-A-L,XXX,MeOx,MeOx,PhOx,MeOx,PipBoc,34,20,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9112.03123664,GGG,JJJ,EEE,FFF,MMM,A-PhOx-A-L,XXX,YYY,1,CCC,DDD,PPP
A-PhOzi-A,XXX,MeOx,MeOx,PhOzi,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8586.76741742,GGG,JJJ,EEE,FFF,MMM,A-PhOzi-A,XXX,YYY,1,CCC,DDD,PPP
