POL,D,T1,A1,B,A2,T2,A1n,Bn,A2n,PF,DF,Time
A-cPrOx-A,XXX,MeOx,MeOx,cPrOx,MeOx,PipBoc,34,18,36,10,10,0
A-cPrOzi-A,XXX,MeOx,MeOx,cPrOzi,MeOx,PipBoc,35,18,36,10,10,0
A-nPrOx-A,XXX,MeOx,MeOx,nPrOx,MeOx,PipBoc,35,20,36,10,10,0
A-nPrOzi-A,XXX,MeOx,MeOx,nPrOzi,MeOx,PipBoc,34,20,35,10,10,0
A-iPrOx-A,XXX,MeOx,MeOx,iPrOx,MeOx,PipBoc,33,20,35,10,10,0
A-iPrOzi-A,XXX,MeOx,MeOx,iPrOzi,MeOx,PipBoc,34,18,35,10,10,0
A-EtHepOx-A,XXX,MeOx,MeOx,EtHepOx,MeOx,PipBoc,35,13,36,10,10,0
A-EtHepOzi-A,XXX,MeOx,MeOx,EtHepOzi,MeOx,PipBoc,35,11,36,10,10,0
A-nNonOx-A,XXX,MeOx,MeOx,nNonOx,MeOx,PipBoc,34,12,35,10,10,0
A-nNonOzi-A,XXX,MeOx,MeOx,nNonOzi,MeOx,PipBoc,34,11,35,10,10,0
A-cPrMeOx-A,XXX,MeOx,MeOx,cPrMeOx,MeOx,PipBoc,34,18,36,10,10,0
A-cPrMeOzi-A,XXX,MeOx,MeOx,cPrMeOzi,MeOx,PipBoc,34,15,34,10,10,0
A-nBuOx-A,XXX,MeOx,MeOx,nBuOx,MeOx,Pid,34,20,35,10,10,0
A-nBuOzi-A,XXX,PgMeOx,MeOx,nBuOzi,MeOx,PipBoc,35,20,35,10,10,0
A-iBuOx-A,XXX,MeOx,MeOx,iBuOx,MeOx,PipBoc,33,19,35,10,10,0
A-iBuOzi-A,XXX,MeOx,MeOx,iBuOzi,MeOx,PipBoc,34,18,34,10,10,0
A-sBuOx-A,XXX,MeOx,MeOx,sBuOx,MeOx,PipBoc,33,18,35,10,10,0
A-sBuOzi-A,XXX,MeOx,MeOx,sBuOzi,MeOx,PipBoc,34,15,35,10,10,0
A*-nPrOzi-A,XXX,EtOx,EtOx,nPrOzi,MeOx,PipBoc,31,19,31,10,10,0
A*-nPrOzi-A,XXX,EtOx,EtOx,nPrOzi,MeOx,PipBoc,31,19,31,10,10,0
A*-nPrOzi-A*,XXX,EtOx,EtOx,nPrOzi,EtOx,PipBoc,28,18,29,10,10,0
A*-nBuOx-A,XXX,EtOx,EtOx,nBuOx,MeOx,PipBoc,33,20,31,10,10,0
A*-nBuOx-A*,XXX,EtOx,EtOx,nBuOx,EtOx,PipBoc,34,20,35,10,10,0
A-BzOx-A,XXX,MeOx,MeOx,BzOx,MeOx,PipBoc,39,20,41,10,10,0
A-PhOx-A,XXX,MeOx,MeOx,PhOx,MeOx,PipBoc,34,18,35,10,10,0
A-BzOx-A,XXX,MeOx,MeOx,BzOx,MeOx,PipBoc,39,20,41,10,10,0
A-PentOx-A,XXX,MeOx,MeOx,PentOx,MeOx,PipBoc,34,21,35,10,10,0
