POL	D	T1	A1	B	A2	T2	A1n	Bn	A2n	PF	DF	Time	SD	Solvent	VOL	Hydration	Temperature	Source	D2	DF2	B2	B2n	PMW	DMW	DMW2	POLFRAC	D1FRAC	D2FRAC	POLNAME	DRUGNAME1	DRUGNAME2	PMR	MR1	MR2
A-cPrOx-A	testcompound	MeOx	MeOx	cPrOx	MeOx	PipBoc	34	18	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8239.523016844	368.125988360001	0	0.0528936074524418	0.947106392547558	0	A-cPrOx-A	testcompound	None	1	17.9058763083824	0
A-cPrOzi-A	testcompound	MeOx	MeOx	cPrOzi	MeOx	PipBoc	35	18	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8576.873131904	368.125988360001	0	0.050919102184555	0.949080897815445	0	A-cPrOzi-A	testcompound	None	1	18.6389951334084	0
A-nPrOx-A	testcompound	MeOx	MeOx	nPrOx	MeOx	PipBoc	35	20	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8587.072559976	368.125988360001	0	0.050861698347401	0.949138301652599	0	A-nPrOx-A	testcompound	None	1	18.6611602147001	0
A-nPrOzi-A-L	testcompound	MeOx	MeOx	nPrOzi	MeOx	PipBoc	34	20	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8697.24873344	368.125988360001	0	0.0502497622635526	0.949750237736447	0	A-nPrOzi-A-L	testcompound	None	1	18.9005916636013	0
A-iPrOx-A	testcompound	MeOx	MeOx	iPrOx	MeOx	PipBoc	33	20	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8331.867318252	368.125988360001	0	0.0523380558772133	0.947661944122787	0	A-iPrOx-A	testcompound	None	1	18.1065560850413	0
A-iPrOzi-A	testcompound	MeOx	MeOx	iPrOzi	MeOx	PipBoc	34	18	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8443.01800524	368.125988360001	0	0.0516846473408487	0.948315352659151	0	A-iPrOzi-A	testcompound	None	1	18.3481053165599	0
A-EtHepOx-A	testcompound	MeOx	MeOx	EtHepOx	MeOx	PipBoc	35	13	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8888.595266716	368.125988360001	0	0.0492212702216761	0.950778729778324	0	A-EtHepOx-A	testcompound	None	1	19.316420025252	0
A-EtHepOzi-A	testcompound	MeOx	MeOx	EtHepOzi	MeOx	PipBoc	35	11	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8648.38018858	368.125988360001	0	0.0505193590802164	0.949480640919784	0	A-EtHepOzi-A	testcompound	None	1	18.7943920549777	0
A-nNonOx-A	testcompound	MeOx	MeOx	nNonOx	MeOx	PipBoc	34	12	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8521.26482448	368.125988360001	0	0.0512343668486943	0.948765633151306	0	A-nNonOx-A	testcompound	None	1	18.518148881457	0
A-nNonOzi-A	testcompound	MeOx	MeOx	nNonOzi	MeOx	PipBoc	34	11	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8478.243360764	368.125988360001	0	0.0514809632468998	0.9485190367531	0	A-nNonOzi-A	testcompound	None	1	18.4246559685384	0
A-cPrMeOx-A	testcompound	MeOx	MeOx	cPrMeOx	MeOx	PipBoc	34	18	36	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8491.804717996	368.125988360001	0	0.0514029745649357	0.948597025435064	0	A-cPrMeOx-A	testcompound	None	1	18.4541270901888	0
A-cPrMeOzi-A	testcompound	MeOx	MeOx	cPrMeOzi	MeOx	PipBoc	34	15	34	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8156.603499032	368.125988360001	0	0.0534026052572077	0.946597394742792	0	A-cPrMeOzi-A	testcompound	None	1	17.7256781796246	0
