POL,D,T1,A1,B,A2,T2,A1n,Bn,A2n,PF,DF,Time,SD,Solvent,VOL,Hydration,Temperature,Source,D2,DF2,B2,B2n,PMW,DMW,DMW2,POLFRAC,D1FRAC,D2FRAC,POLNAME,DRUGNAME1,DRUGNAME2,PMR,MR1,MR2
A-cPrOx-A,XXX,MeOx,MeOx,cPrOx,MeOx,PipBoc,34,18,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8239.523016844,GGG,JJJ,EEE,FFF,MMM,A-cPrOx-A,XXX,YYY,1,CCC,DDD
A-cPrOzi-A,XXX,MeOx,MeOx,cPrOzi,MeOx,PipBoc,35,18,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8576.873131904,GGG,JJJ,EEE,FFF,MMM,A-cPrOzi-A,XXX,YYY,1,CCC,DDD
A-nPrOx-A,XXX,MeOx,MeOx,nPrOx,MeOx,PipBoc,35,20,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8587.072559976,GGG,JJJ,EEE,FFF,MMM,A-nPrOx-A,XXX,YYY,1,CCC,DDD
A-nPrOzi-A-L,XXX,MeOx,MeOx,nPrOzi,MeOx,PipBoc,34,20,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8697.24873344,GGG,JJJ,EEE,FFF,MMM,A-nPrOzi-A-L,XXX,YYY,1,CCC,DDD
A-iPrOx-A,XXX,MeOx,MeOx,iPrOx,MeOx,PipBoc,33,20,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8331.867318252,GGG,JJJ,EEE,FFF,MMM,A-iPrOx-A,XXX,YYY,1,CCC,DDD
A-iPrOzi-A,XXX,MeOx,MeOx,iPrOzi,MeOx,PipBoc,34,18,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8443.01800524,GGG,JJJ,EEE,FFF,MMM,A-iPrOzi-A,XXX,YYY,1,CCC,DDD
A-EtHepOx-A,XXX,MeOx,MeOx,EtHepOx,MeOx,PipBoc,35,13,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8888.595266716,GGG,JJJ,EEE,FFF,MMM,A-EtHepOx-A,XXX,YYY,1,CCC,DDD
A-EtHepOzi-A,XXX,MeOx,MeOx,EtHepOzi,MeOx,PipBoc,35,11,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8648.38018858,GGG,JJJ,EEE,FFF,MMM,A-EtHepOzi-A,XXX,YYY,1,CCC,DDD
A-nNonOx-A,XXX,MeOx,MeOx,nNonOx,MeOx,PipBoc,34,12,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8521.26482448,GGG,JJJ,EEE,FFF,MMM,A-nNonOx-A,XXX,YYY,1,CCC,DDD
A-nNonOzi-A,XXX,MeOx,MeOx,nNonOzi,MeOx,PipBoc,34,11,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8478.243360764,GGG,JJJ,EEE,FFF,MMM,A-nNonOzi-A,XXX,YYY,1,CCC,DDD
